Long name,Source,Code,Series name,Unit,Beijing,Dalian,Guangzhou,Qingdao
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FSPS,Spaghetti (1 kg) (supermarket),CNY,19.6,20.8,13.4,22
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FSPM,Spaghetti (1 kg) (mid-priced store),CNY,22,22,13.8,25
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FFLS,"Flour, white (1 kg) (supermarket)",CNY,13,6.9,8,11.58
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FFLM,"Flour, white (1 kg) (mid-priced store)",CNY,14,7.8,13.22,13.45
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FSUS,"Sugar, white (1 kg) (supermarket)",CNY,12.02,13.98,9.44,11
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FSUM,"Sugar, white (1 kg) (mid-priced store)",CNY,13.78,14.59,10.56,15.86
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FCHS,"Cheese, imported (500 g) (supermarket)",CNY,88.11,43.75,86,96
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FCHM,"Cheese, imported (500 g) (mid-priced store)",CNY,101.98,53,88.8,96.8
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FCFS,Cornflakes (375 g) (supermarket),CNY,44.12,24,33.75,40.59
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FCFM,Cornflakes (375 g) (mid-priced store),CNY,46.54,45,42.75,42.24
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FYOS,"Yoghurt, natural (150 g) (supermarket)",CNY,2.2,2.16,2,3.13
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FYOM,"Yoghurt, natural (150 g) (mid-priced store)",CNY,3.4,3.6,2.1,3.5
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FMKS,"Milk, pasteurised (1 l) (supermarket)",CNY,8.3,5,9,7.85
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FMKM,"Milk, pasteurised (1 l) (mid-priced store)",CNY,11,8.7,10.5,9.8
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FOOS,Olive oil (1 l) (supermarket),CNY,139,79,90,78
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FOOM,Olive oil (1 l) (mid-priced store),CNY,149,108,99,84
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FPCS,Peanut or corn oil (1 l) (supermarket),CNY,45,11.5,13.89,21.95
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FPCM,Peanut or corn oil (1 l) (mid-priced store),CNY,50,21.13,15,28.32
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FPTS,Potatoes (2 kg) (supermarket),CNY,7.2,5.12,7.9,7.9
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FPTM,Potatoes (2 kg) (mid-priced store),CNY,9.6,7.6,8.4,14.58
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FONS,Onions (1 kg) (supermarket),CNY,3.6,3.76,2.98,7.5
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FONM,Onions (1 kg) (mid-priced store),CNY,4.4,5.2,3,8
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FMHS,Mushrooms (1 kg) (supermarket),CNY,14,15.6,13.4,15.4
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FMHM,Mushrooms (1 kg) (mid-priced store),CNY,18,19.66,15,15.8
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FTMS,Tomatoes (1 kg) (supermarket),CNY,5.4,3.8,10,8.4
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FTMM,Tomatoes (1 kg) (mid-priced store),CNY,6.2,5.6,11,9.4
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FCRS,Carrots (1 kg) (supermarket),CNY,3.6,3.8,1.36,4.25
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FCRM,Carrots (1 kg) (mid-priced store),CNY,4.8,4.5,2.9,4.75
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FORS,Oranges (1 kg) (supermarket),CNY,18,10,10.8,11.2
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FORM,Oranges (1 kg) (mid-priced store),CNY,22,20.8,13.8,14.8
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FAPS,Apples (1 kg) (supermarket),CNY,20,6.8,12.8,21.7
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FAPM,Apples (1 kg) (mid-priced store),CNY,24.2,27,15.8,28
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FLES,Lemons (1 kg) (supermarket),CNY,20,23.6,16,10.9
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FLEM,Lemons (1 kg) (mid-priced store),CNY,22,25.96,18.4,15
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FBNS,Bananas (1 kg) (supermarket),CNY,10,5.8,5.96,5
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FBNM,Bananas (1 kg) (mid-priced store),CNY,12.4,6.4,12,6.4
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FLTS,Lettuce (one) (supermarket),CNY,7.6,3.48,4.8,3.4
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FLTM,Lettuce (one) (mid-priced store),CNY,10,9,6.9,6.3
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FEGS,Eggs (12) (supermarket),CNY,9.5,8.4,9,4.5
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FEGM,Eggs (12) (mid-priced store),CNY,11,10,9.36,7.2
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FPSS,"Peas, canned (250 g) (supermarket)",CNY,7.6,7.97,n.a.,6.8
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FPSM,"Peas, canned (250 g) (mid-priced store)",CNY,8.7,7.97,7.92,7.2
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FTCS,"Tomatoes, canned (250 g) (supermarket)",CNY,8.45,6.5,n.a.,9.3
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FTCM,"Tomatoes, canned (250 g) (mid-priced store)",CNY,11.07,7.97,7.42,9.5
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FPES,"Peaches, canned (500 g) (supermarket)",CNY,21.41,4.9,6.4,16.6
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FPEM,"Peaches, canned (500 g) (mid-priced store)",CNY,21.88,7.08,9.39,17
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FSLS,"Sliced pineapples, canned (500 g) (supermarket)",CNY,21.65,5.83,8.85,16
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FSLM,"Sliced pineapples, canned (500 g) (mid-priced store)",CNY,22.94,7.08,11.66,18.86
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FFMS,Beef: filet mignon (1 kg) (supermarket),CNY,89,n.a.,104,59
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FFMM,Beef: filet mignon (1 kg) (mid-priced store),CNY,89,43.4,156,69
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FSES,"Beef: steak, entrecote (1 kg) (supermarket)",CNY,55,n.a.,70,31.2
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FSEM,"Beef: steak, entrecote (1 kg) (mid-priced store)",CNY,80,50,108,33.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FBSS,"Beef: stewing, shoulder (1 kg) (supermarket)",CNY,30,n.a.,29,25
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FBSM,"Beef: stewing, shoulder (1 kg) (mid-priced store)",CNY,52,32,42,30
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FBRS,Beef: roast (1 kg) (supermarket),CNY,45,18.6,n.a.,53.8
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FBRM,Beef: roast (1 kg) (mid-priced store),CNY,48,26.9,70,68
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FBGS,Beef: ground or minced (1 kg) (supermarket),CNY,18.8,14,29,32
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FBGM,Beef: ground or minced (1 kg) (mid-priced store),CNY,23,25.6,32,37.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FVCS,Veal: chops (1 kg) (supermarket),CNY,82,n.a.,n.a.,64.2
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FVCM,Veal: chops (1 kg) (mid-priced store),CNY,n.a.,n.a.,n.a.,77.2
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FVFS,Veal: fillet (1 kg) (supermarket),CNY,n.a.,n.a.,n.a.,67.8
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FVFM,Veal: fillet (1 kg) (mid-priced store),CNY,n.a.,n.a.,n.a.,81.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FVRS,Veal: roast (1 kg) (supermarket),CNY,n.a.,n.a.,n.a.,47.6
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FVRM,Veal: roast (1 kg) (mid-priced store),CNY,40.6,n.a.,n.a.,53.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FLLS,Lamb: leg (1 kg) (supermarket),CNY,n.a.,28,n.a.,45.8
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FLLM,Lamb: leg (1 kg) (mid-priced store),CNY,n.a.,34.6,32,48.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FLCS,Lamb: chops (1 kg) (supermarket),CNY,n.a.,20,35,30
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FLCM,Lamb: chops (1 kg) (mid-priced store),CNY,n.a.,36.6,48,36.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FLSS,Lamb: Stewing (1 kg) (supermarket),CNY,46,27.6,n.a.,35
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FLSM,Lamb: Stewing (1 kg) (mid-priced store),CNY,58,35.2,27.6,37.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FPOS,Pork: chops (1 kg) (supermarket),CNY,17,17,27.6,14
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FPOM,Pork: chops (1 kg) (mid-priced store),CNY,35,29.8,28.6,19.2
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FPLS,Pork: loin (1 kg) (supermarket),CNY,n.a.,n.a.,25,14.8
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FPLM,Pork: loin (1 kg) (mid-priced store),CNY,23,25.8,31.6,15
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FHAS,Ham: whole (1 kg) (supermarket),CNY,n.a.,43.2,n.a.,29.6
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FHAM,Ham: whole (1 kg) (mid-priced store),CNY,n.a.,74,80,32
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FBAS,Bacon (1 kg) (supermarket),CNY,48,n.a.,57.2,n.a.
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FBAM,Bacon (1 kg) (mid-priced store),CNY,50,35,60,49
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FCZS,Chicken: frozen (1 kg) (supermarket),CNY,23,n.a.,18.93,13.9
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FCZM,Chicken: frozen (1 kg) (mid-priced store),CNY,30,16,18.93,17
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FCWS,Chicken: fresh (1 kg) (supermarket),CNY,10,15.8,n.a.,17
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FCWM,Chicken: fresh (1 kg) (mid-priced store),CNY,11,19.8,30,18.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FFFS,Frozen fish fingers (1 kg) (supermarket),CNY,70,n.a.,n.a.,16.56
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FFFM,Frozen fish fingers (1 kg) (mid-priced store),CNY,76,38,n.a.,21
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FFIS,Fresh fish (1 kg) (supermarket),CNY,n.a.,133.8,138,n.a.
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FFIM,Fresh fish (1 kg) (mid-priced store),CNY,200,180,148,n.a.
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FICS,Instant coffee (125 g) (supermarket),CNY,38.13,37.75,36.88,58.75
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FICM,Instant coffee (125 g) (mid-priced store),CNY,39.38,50,37.38,60.63
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FGCS,Ground coffee (500 g) (supermarket),CNY,47,122.5,70,104
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FGCM,Ground coffee (500 g) (mid-priced store),CNY,55,150,87.8,105.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FTBS,Tea bags (25 bags) (supermarket),CNY,7.32,9.9,9.9,17.5
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FTBM,Tea bags (25 bags) (mid-priced store),CNY,20,9.9,9.9,25.9
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FCCS,Cocoa (250 g) (supermarket),CNY,12.14,n.a.,n.a.,n.a.
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FCCM,Cocoa (250 g) (mid-priced store),CNY,12.86,19.88,n.a.,60
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FDCS,Drinking chocolate (500 g) (supermarket),CNY,37.14,n.a.,34,15.6
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FDCM,Drinking chocolate (500 g) (mid-priced store),CNY,39.14,n.a.,40,19.6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FCOS,Coca-Cola (1 l) (supermarket),CNY,3.6,3.68,3.36,5.33
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FCOM,Coca-Cola (1 l) (mid-priced store),CNY,4,3.84,3.6,5.47
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FTWS,Tonic water (200 ml) (supermarket),CNY,2.32,2.55,1.86,n.a.
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FTWM,Tonic water (200 ml) (mid-priced store),CNY,2.55,2.61,2.14,n.a.
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FMWS,Mineral water (1 l) (supermarket),CNY,27.88,21.82,17.8,16.5
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FMWM,Mineral water (1 l) (mid-priced store),CNY,32.42,37.27,22.8,17
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FOJS,Orange juice (1 l) (supermarket),CNY,14.5,12,16,n.a.
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FOJM,Orange juice (1 l) (mid-priced store),CNY,17,12,20,13.5
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,AWCS,"Wine, common table (1 l) (supermarket)",CNY,125,95,44,52
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,AWFS,"Wine, fine quality (700 ml) (supermarket)",CNY,1000,n.a.,n.a.,420
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,ABLS,"Beer, local brand (1 l) (supermarket)",CNY,8.59,13.2,7.5,10.7
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,ASWS,"Scotch whisky, six years old (700 ml) (supermarket)",CNY,149.33,130,99,148
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,AGGS,"Gin, Gilbey's or equivalent (700 ml) (supermarket)",CNY,74.67,82.13,68,46
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,AVMS,"Vermouth, Martini & Rossi (1 l) (supermarket)",CNY,226,122,n.a.,n.a.
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,ACFS,"Cognac, French VSOP (700 ml) (supermarket)",CNY,308,310,450,458
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,ALCS,"Liqueur, Cointreau (700 ml) (supermarket)",CNY,122,n.a.,138,108
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,HSPS,Soap (100 g) (supermarket),CNY,8.6,5.2,5,1.92
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,HLDS,Laundry detergent (3 l) (supermarket),CNY,200,76.8,40.95,224.84
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,HTTS,Toilet tissue (two rolls) (supermarket),CNY,6.17,4.9,5.16,8
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,HDLS,Dishwashing liquid (750 ml) (supermarket),CNY,16.2,25.9,9.52,5.9
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,HIKS,Insect-killer spray (330 g) (supermarket),CNY,19,9.59,11.76,25.08
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,HLBS,"Light bulbs (two, 60 watts) (supermarket)",CNY,15,4,5.6,6
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,HBTS,"Batteries (two, size D/LR20) (supermarket)",CNY,9,28,28.65,22
"Representative local-currency price in a department store, hypermarket or equivalent outlet.",EIU Worldwide Cost of Living Survey,HFPS,Frying pan (Teflon or good equivalent) (supermarket),CNY,196,132,58.8,125
"Representative local-currency price in a department store, hypermarket or equivalent outlet.",EIU Worldwide Cost of Living Survey,HETS,Electric toaster (for two slices) (supermarket),CNY,335,220,199,325
Representative local-currency price in a standard high-street outlet or equivalent.,EIU Worldwide Cost of Living Survey,HLAS,Laundry (one shirt) (standard high-street outlet),CNY,8,12,10,8
Representative local-currency price in a standard high-street outlet or equivalent.,EIU Worldwide Cost of Living Survey,HDMS,"Dry cleaning, man's suit (standard high-street outlet)",CNY,22,30,25,15
Representative local-currency price in a standard high-street outlet or equivalent.,EIU Worldwide Cost of Living Survey,HDWS,"Dry cleaning, woman's dress (standard high-street outlet)",CNY,35,20,25,12
Representative local-currency price in a standard high-street outlet or equivalent.,EIU Worldwide Cost of Living Survey,HDTS,"Dry cleaning, trousers (standard high-street outlet)",CNY,10,10,12,8
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,PCAS,Aspirins (100 tablets) (supermarket),CNY,150,n.a.,n.a.,101.67
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,PCRS,Razor blades (five pieces) (supermarket),CNY,48,31.9,42.5,38
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,PCTS,Toothpaste with fluoride (120 g) (supermarket),CNY,15.9,7.7,8.58,19
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,PCFS,Facial tissues (box of 100) (supermarket),CNY,12.33,4.4,4.08,29.2
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,PCHS,Hand lotion (125 ml) (supermarket),CNY,32.5,18.5,29.38,29.75
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,PCSS,Shampoo & conditioner in one (400 ml) (supermarket),CNY,35,32.8,36.8,40
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,PCLS,Lipstick (deluxe type) (supermarket),CNY,219,220,180,250
"Representative price, tips included, of a man's haircut.",EIU Worldwide Cost of Living Survey,PCMH,Man's haircut (tips included) (average),CNY,220,380,120,200
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,TCMS,"Cigarettes, Marlboro (pack of 20) (supermarket)",CNY,16,13,12,14
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,TCLS,"Cigarettes, local brand (pack of 20) (supermarket)",CNY,12,15,7,12
Representative price of 50 grammes of pipe tobacco.,EIU Worldwide Cost of Living Survey,TPTO,Pipe tobacco (50 g) (average),CNY,96.33,88,n.a.,94.33
Average rental cost for a fixed-line telephone connection.,EIU Worldwide Cost of Living Survey,UTLR,"Telephone and line, monthly rental (average)",CNY,50,20,75,115
Average cost of a 3-minute local phone call.,EIU Worldwide Cost of Living Survey,UTCH,"Telephone, charge per local call from home (3 mins) (average)",CNY,0.83,0.26,0.5,0.8
Average monthly electricity bill for a family of four.,EIU Worldwide Cost of Living Survey,UEMB,"Electricity, monthly bill (average)",CNY,675,n.a.,1100,260
Average monthly gas bill for a family of four.,EIU Worldwide Cost of Living Survey,UGMB,"Gas, monthly bill (average)",CNY,230,n.a.,132,379.5
Average monthly water bill for a family of four.,EIU Worldwide Cost of Living Survey,UWMB,"Water, monthly bill (average)",CNY,30,n.a.,150,125
Average cost of 100 litres of heating oil.,EIU Worldwide Cost of Living Survey,UHTO,Heating oil (100 l) (average),CNY,n.a.,n.a.,n.a.,n.a.
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CBSC,"Business suit, two piece, medium weight (chain store)",CNY,3200,6800,2280,2800
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CMTC,"Business shirt, white (chain store)",CNY,1100,590,284,280
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CMSC,"Men's shoes, business wear (chain store)",CNY,1060,1950,1250,450
Representative local-currency price in a chain store or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,CRBC,"Mens raincoat, Burberry type (chain store)",CNY,5000,3995,1800,2400
